3842	9427	9185	260	2994	
8288	7078	1851	840	1248	
3842	207	316	1992	2620	
8253	6883	9539	8978	9927	
3650	1213	5202	7465	9992	
207	316	1992	3285	3842	
1731	5736	2708	8026	531	
318	1106	1473	8180	8610	
911	2708	6567	450	1731	
3071	3857	340	606	2423	
2043	2193	5122	6115	4149	
3881	4500	9509	9552	9578	
4402	5743	6993	9498	4824	
962	5549	8059	9160	3027	
440	1490	3824	5401	6939	
1096	3677	7438	3704	559	
4386	5137	6149	6407	6679	
125	133	162	488	1186	
4391	2311	4438	2158	8901	
696	1094	2052	2966	4402	
